Passenger,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Food_and_drink,Seat_comfort,Inflight_entertainment,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
12,Female,Loyal_Customer,46,Business_travel,Business,1009,5,5,4,5,5,5,3,0,0,satisfied
13,Female,Loyal_Customer,60,Business_travel,Business,451,1,1,5,4,5,5,5,117,113,satisfied
14,Female,Loyal_Customer,52,Business_travel,Business,925,2,2,5,4,4,4,5,10,0,satisfied
19,Female,Loyal_Customer,50,Business_travel,Business,3799,5,5,4,4,4,4,5,8,0,satisfied
36,Female,Loyal_Customer,39,Business_travel,Business,370,3,3,2,5,4,4,5,10,12,satisfied
37,Female,Loyal_Customer,55,Business_travel,Business,3169,1,1,3,4,5,5,5,73,68,satisfied
43,Female,Loyal_Customer,28,Business_travel,Business,1024,1,1,4,4,4,4,4,0,3,satisfied
46,Female,Loyal_Customer,60,Business_travel,Business,1889,2,2,3,4,5,5,3,0,0,satisfied
48,Female,Loyal_Customer,49,Business_travel,Business,3295,4,4,2,4,5,5,3,0,4,satisfied
54,Female,Loyal_Customer,30,Business_travel,Business,651,3,3,5,5,5,5,5,0,0,satisfied
64,Female,Loyal_Customer,19,Business_travel,Business,2738,5,5,3,3,3,2,3,0,0,satisfied
68,Female,Loyal_Customer,42,Business_travel,Business,1898,5,5,5,4,5,5,3,49,47,satisfied
69,Female,Loyal_Customer,41,Business_travel,Business,967,2,2,2,5,4,4,5,44,40,satisfied
80,Female,Loyal_Customer,61,Business_travel,Business,1585,2,2,1,5,3,3,4,24,20,satisfied
87,Female,Loyal_Customer,50,Business_travel,Business,3696,1,1,2,4,5,5,5,9,0,satisfied
94,Female,Loyal_Customer,46,Business_travel,Business,912,1,1,2,4,4,4,4,5,0,satisfied
109,Female,Loyal_Customer,32,Business_travel,Business,2668,5,5,4,4,4,5,4,2,0,satisfied
112,Female,Loyal_Customer,45,Business_travel,Business,2374,5,5,4,4,4,4,5,0,0,satisfied
137,Female,Loyal_Customer,41,Business_travel,Business,3046,5,5,3,5,4,4,5,0,0,satisfied
141,Female,Loyal_Customer,48,Business_travel,Business,491,3,3,4,4,4,4,5,0,0,satisfied
145,Female,Loyal_Customer,53,Business_travel,Business,3769,3,1,1,1,2,2,1,180,178,neutral_or_dissatisfied
150,Female,Loyal_Customer,56,Business_travel,Business,1189,5,5,5,5,2,2,3,9,0,satisfied
155,Female,Loyal_Customer,42,Business_travel,Business,266,1,1,4,4,4,4,1,0,0,satisfied
170,Female,Loyal_Customer,60,Business_travel,Business,3823,2,2,4,4,5,5,3,1,0,satisfied
173,Female,Loyal_Customer,38,Business_travel,Business,2955,3,3,3,5,4,4,3,0,0,satisfied
174,Female,Loyal_Customer,40,Business_travel,Business,2806,1,1,3,5,5,5,5,0,4,satisfied
176,Female,Loyal_Customer,61,Business_travel,Business,2073,3,3,4,4,4,4,5,6,0,satisfied
180,Female,Loyal_Customer,45,Business_travel,Business,3947,3,4,3,4,3,3,3,25,16,neutral_or_dissatisfied
182,Female,Loyal_Customer,54,Business_travel,Business,1634,3,2,4,4,3,3,1,90,77,neutral_or_dissatisfied
184,Female,Loyal_Customer,25,Business_travel,Business,2533,5,5,2,2,2,3,2,0,0,satisfied
191,Female,Loyal_Customer,47,Business_travel,Business,964,5,5,5,5,5,5,3,1,3,satisfied
197,Female,Loyal_Customer,45,Business_travel,Business,759,2,2,2,1,2,2,4,23,94,neutral_or_dissatisfied
198,Female,Loyal_Customer,51,Business_travel,Business,2344,2,2,3,5,3,3,3,0,0,satisfied
201,Female,Loyal_Customer,46,Business_travel,Business,580,3,3,3,4,4,4,5,18,16,satisfied
206,Female,Loyal_Customer,44,Business_travel,Business,2903,2,1,2,3,2,2,1,0,1,neutral_or_dissatisfied
207,Female,Loyal_Customer,17,Business_travel,Business,3170,5,5,5,5,5,5,5,16,0,satisfied
211,Female,Loyal_Customer,80,Business_travel,Business,3464,1,1,2,4,4,4,4,0,0,satisfied
215,Female,Loyal_Customer,22,Business_travel,Business,1968,4,4,4,4,4,4,4,0,0,neutral_or_dissatisfied
216,Female,Loyal_Customer,53,Business_travel,Business,2560,5,5,5,5,3,3,3,0,3,satisfied
222,Female,Loyal_Customer,62,Business_travel,Business,3692,2,2,3,2,4,4,2,0,0,satisfied
237,Female,Loyal_Customer,13,Business_travel,Business,2544,3,1,3,3,3,3,3,0,0,neutral_or_dissatisfied
246,Female,Loyal_Customer,28,Business_travel,Business,308,1,3,1,1,1,3,1,0,0,neutral_or_dissatisfied
251,Female,Loyal_Customer,46,Business_travel,Business,1522,3,2,3,4,4,4,5,0,0,satisfied
253,Female,Loyal_Customer,62,Business_travel,Business,3217,2,2,5,4,4,4,5,19,16,satisfied
261,Female,Loyal_Customer,58,Business_travel,Business,2498,3,3,4,4,5,5,3,0,0,satisfied
264,Female,Loyal_Customer,43,Business_travel,Business,3724,3,3,4,5,5,5,3,19,7,satisfied
270,Female,Loyal_Customer,55,Business_travel,Business,2699,2,2,2,4,3,3,4,0,3,satisfied
271,Female,Loyal_Customer,49,Business_travel,Business,679,1,1,2,4,4,4,1,51,71,satisfied
273,Female,Loyal_Customer,57,Business_travel,Business,4817,4,4,5,5,3,4,5,0,19,satisfied
274,Female,Loyal_Customer,35,Business_travel,Business,3833,3,3,3,3,5,5,4,0,3,satisfied
275,Female,Loyal_Customer,40,Business_travel,Business,2559,5,5,3,5,4,4,3,0,0,satisfied
280,Female,Loyal_Customer,32,Business_travel,Business,759,2,2,5,5,5,4,5,0,0,satisfied
290,Female,Loyal_Customer,44,Business_travel,Business,1597,2,2,3,4,2,2,4,0,5,satisfied
291,Female,Loyal_Customer,66,Business_travel,Business,2264,3,5,5,4,3,3,4,0,0,neutral_or_dissatisfied
294,Female,Loyal_Customer,53,Business_travel,Business,3276,0,5,4,4,3,3,5,0,0,satisfied
295,Female,Loyal_Customer,37,Business_travel,Business,2567,2,2,4,4,5,5,5,0,12,satisfied
301,Female,Loyal_Customer,39,Business_travel,Business,1399,4,4,4,5,5,5,5,16,4,satisfied
312,Female,Loyal_Customer,42,Business_travel,Business,362,1,1,4,4,5,5,5,0,17,satisfied
313,Female,Loyal_Customer,48,Business_travel,Business,1587,1,1,5,5,4,4,3,60,68,satisfied
317,Female,Loyal_Customer,49,Business_travel,Business,1625,5,5,4,4,5,5,5,0,4,satisfied
322,Female,Loyal_Customer,49,Business_travel,Business,1187,1,1,3,4,3,3,3,33,40,satisfied
331,Female,Loyal_Customer,58,Business_travel,Business,3065,0,5,4,4,2,2,3,0,0,satisfied
332,Female,Loyal_Customer,58,Business_travel,Business,3736,2,1,2,2,2,2,3,52,41,neutral_or_dissatisfied
344,Female,Loyal_Customer,39,Business_travel,Business,3601,2,2,4,2,4,4,3,0,0,satisfied
345,Female,Loyal_Customer,53,Business_travel,Business,635,2,2,5,5,1,3,5,150,156,satisfied
350,Female,Loyal_Customer,47,Business_travel,Business,2609,3,3,5,5,4,4,5,0,0,satisfied
353,Female,Loyal_Customer,16,Business_travel,Business,2442,2,2,4,4,4,5,4,0,0,satisfied
356,Female,Loyal_Customer,28,Business_travel,Business,1537,2,2,5,5,5,5,5,0,0,satisfied
361,Female,Loyal_Customer,48,Business_travel,Business,951,1,1,5,5,3,3,3,0,0,satisfied
368,Female,Loyal_Customer,59,Business_travel,Business,2869,5,5,3,4,5,5,3,0,1,satisfied
372,Female,Loyal_Customer,42,Business_travel,Business,1609,2,4,2,3,2,2,1,12,0,neutral_or_dissatisfied
375,Female,Loyal_Customer,53,Business_travel,Business,3804,2,2,5,4,5,5,3,0,0,satisfied
378,Female,Loyal_Customer,42,Business_travel,Business,3004,5,5,3,5,5,5,4,5,14,satisfied
389,Female,Loyal_Customer,45,Business_travel,Business,2580,5,5,2,4,5,5,5,0,0,satisfied
393,Female,Loyal_Customer,27,Business_travel,Business,2777,5,5,5,5,5,2,5,2,0,satisfied
397,Female,Loyal_Customer,30,Business_travel,Business,2154,3,3,5,5,5,4,5,0,0,satisfied
401,Female,Loyal_Customer,32,Business_travel,Business,192,3,2,3,3,3,3,3,0,0,neutral_or_dissatisfied
413,Female,Loyal_Customer,53,Business_travel,Business,2690,3,3,5,5,3,3,5,0,0,satisfied
428,Female,Loyal_Customer,25,Business_travel,Business,1874,2,3,2,2,2,5,2,0,0,neutral_or_dissatisfied
430,Female,Loyal_Customer,37,Business_travel,Business,2571,3,3,5,5,5,5,5,0,0,satisfied
436,Female,Loyal_Customer,40,Business_travel,Business,2334,0,4,4,3,5,5,2,0,0,satisfied
455,Female,Loyal_Customer,48,Business_travel,Business,235,2,5,2,3,2,2,4,0,0,neutral_or_dissatisfied
458,Female,Loyal_Customer,48,Business_travel,Business,2075,4,4,3,4,4,4,4,0,0,satisfied
463,Female,Loyal_Customer,21,Business_travel,Business,657,2,2,5,5,5,4,5,6,0,satisfied
467,Female,Loyal_Customer,40,Business_travel,Business,544,4,4,4,4,4,4,5,0,0,satisfied
471,Female,Loyal_Customer,51,Business_travel,Business,366,1,1,3,4,4,4,4,0,0,satisfied
472,Female,Loyal_Customer,59,Business_travel,Business,956,2,1,5,3,2,2,1,1,13,neutral_or_dissatisfied
484,Female,Loyal_Customer,43,Business_travel,Business,1750,1,3,5,4,4,4,5,0,7,satisfied
488,Female,Loyal_Customer,39,Business_travel,Business,1747,2,2,4,4,3,4,4,132,123,satisfied
489,Female,Loyal_Customer,33,Business_travel,Business,773,2,2,4,4,2,1,4,140,129,satisfied
496,Female,Loyal_Customer,30,Business_travel,Business,2657,4,5,1,4,1,3,1,8,7,neutral_or_dissatisfied
498,Female,Loyal_Customer,48,Business_travel,Business,544,2,2,4,5,4,4,5,62,46,satisfied
503,Female,Loyal_Customer,46,Business_travel,Business,3185,2,5,5,3,2,2,1,0,0,neutral_or_dissatisfied
3,Male,Loyal_Customer,44,Business_travel,Business,3377,0,0,3,4,1,1,4,0,6,satisfied
20,Male,Loyal_Customer,60,Business_travel,Business,612,4,4,2,5,5,5,5,21,49,satisfied
23,Male,Loyal_Customer,25,Business_travel,Business,1428,4,4,4,4,4,5,4,0,0,satisfied
26,Male,Loyal_Customer,24,Business_travel,Business,3680,4,1,2,2,2,4,2,0,0,satisfied
28,Male,Loyal_Customer,44,Business_travel,Business,1543,3,5,5,5,5,5,5,0,0,satisfied
42,Male,Loyal_Customer,22,Business_travel,Business,277,3,3,3,3,1,2,3,116,177,neutral_or_dissatisfied
56,Male,Loyal_Customer,27,Business_travel,Business,566,3,3,5,5,5,1,5,0,0,satisfied
60,Male,Loyal_Customer,44,Business_travel,Business,158,3,3,5,5,4,4,5,66,57,satisfied
66,Male,Loyal_Customer,22,Business_travel,Business,1660,2,2,2,2,2,4,2,0,0,neutral_or_dissatisfied
71,Male,Loyal_Customer,35,Business_travel,Business,1042,3,2,2,3,3,3,2,0,0,neutral_or_dissatisfied
73,Male,Loyal_Customer,44,Business_travel,Business,366,3,3,2,4,4,4,4,5,24,satisfied
82,Male,Loyal_Customer,27,Business_travel,Business,2729,3,3,5,5,5,2,5,44,52,satisfied
83,Male,Loyal_Customer,55,Business_travel,Business,1400,3,5,4,2,3,3,4,1,0,neutral_or_dissatisfied
90,Male,Loyal_Customer,45,Business_travel,Business,2580,3,3,3,4,5,5,4,0,11,satisfied
92,Male,Loyal_Customer,59,Business_travel,Business,3358,3,3,3,4,4,4,3,0,0,satisfied
97,Male,Loyal_Customer,35,Business_travel,Business,2409,3,3,1,3,4,4,3,0,0,satisfied
104,Male,Loyal_Customer,50,Business_travel,Business,2475,5,5,2,4,2,2,5,0,0,satisfied
105,Male,Loyal_Customer,54,Business_travel,Business,2544,5,5,5,5,3,3,5,62,66,satisfied
106,Male,Loyal_Customer,56,Business_travel,Business,2556,4,4,4,4,4,4,5,117,113,satisfied
117,Male,Loyal_Customer,27,Business_travel,Business,3200,1,1,5,5,5,1,5,0,0,satisfied
119,Male,Loyal_Customer,31,Business_travel,Business,1999,4,5,5,5,5,4,5,0,4,satisfied
121,Male,Loyal_Customer,42,Business_travel,Business,537,2,2,1,3,5,5,3,0,0,satisfied
127,Male,Loyal_Customer,26,Business_travel,Business,1680,3,1,3,3,3,3,3,27,10,neutral_or_dissatisfied
128,Male,Loyal_Customer,37,Business_travel,Business,2401,2,2,5,1,4,4,5,94,86,satisfied
129,Male,Loyal_Customer,38,Business_travel,Business,2746,2,2,2,2,4,4,5,0,0,satisfied
134,Male,Loyal_Customer,40,Business_travel,Business,2400,4,3,2,5,5,5,3,0,0,satisfied
144,Male,Loyal_Customer,22,Business_travel,Business,3648,2,2,3,3,3,3,3,0,0,satisfied
147,Male,Loyal_Customer,56,Business_travel,Business,3131,1,1,2,4,4,4,5,0,0,satisfied
158,Male,Loyal_Customer,41,Business_travel,Business,2388,2,2,5,4,4,4,5,29,18,satisfied
159,Male,Loyal_Customer,43,Business_travel,Business,1678,1,1,3,4,2,2,5,0,0,satisfied
160,Male,Loyal_Customer,60,Business_travel,Business,1972,5,5,4,5,5,5,3,0,0,satisfied
165,Male,Loyal_Customer,47,Business_travel,Business,3556,2,2,3,3,5,5,4,0,0,satisfied
190,Male,Loyal_Customer,51,Business_travel,Business,2075,5,5,2,5,5,5,3,0,0,satisfied
193,Male,Loyal_Customer,54,Business_travel,Business,3138,1,1,5,4,4,4,4,0,0,satisfied
210,Male,Loyal_Customer,47,Business_travel,Business,2204,5,5,4,4,2,2,3,6,0,satisfied
214,Male,Loyal_Customer,59,Business_travel,Business,1199,4,2,5,4,4,4,1,0,15,neutral_or_dissatisfied
223,Male,Loyal_Customer,57,Business_travel,Business,1859,1,1,2,5,4,4,5,16,15,satisfied
230,Male,Loyal_Customer,53,Business_travel,Business,1464,3,2,5,4,3,3,3,0,0,neutral_or_dissatisfied
232,Male,Loyal_Customer,33,Business_travel,Business,541,2,2,4,4,4,4,4,86,85,satisfied
239,Male,Loyal_Customer,54,Business_travel,Business,1741,1,1,4,5,4,4,3,0,0,satisfied
240,Male,Loyal_Customer,36,Business_travel,Business,2651,4,4,3,4,5,5,3,10,0,satisfied
249,Male,Loyal_Customer,59,Business_travel,Business,2176,2,3,3,2,5,5,4,5,0,satisfied
254,Male,Loyal_Customer,59,Business_travel,Business,1491,3,3,2,4,3,3,3,15,14,satisfied
259,Male,Loyal_Customer,50,Business_travel,Business,2614,2,2,5,4,2,2,4,0,9,satisfied
288,Male,Loyal_Customer,40,Business_travel,Business,2280,4,4,3,5,5,5,5,19,38,satisfied
299,Male,Loyal_Customer,59,Business_travel,Business,1598,3,3,4,4,5,5,5,0,0,satisfied
305,Male,Loyal_Customer,56,Business_travel,Business,3927,4,4,5,5,4,4,4,0,1,satisfied
308,Male,Loyal_Customer,42,Business_travel,Business,3404,5,5,3,4,5,5,3,8,0,satisfied
309,Male,Loyal_Customer,56,Business_travel,Business,2387,4,4,2,4,3,3,3,33,21,satisfied
310,Male,Loyal_Customer,27,Business_travel,Business,192,3,3,4,3,4,3,4,0,1,satisfied
314,Male,Loyal_Customer,53,Business_travel,Business,2611,4,5,4,5,4,4,4,0,0,satisfied
319,Male,Loyal_Customer,50,Business_travel,Business,3511,3,5,1,1,3,3,3,0,29,neutral_or_dissatisfied
321,Male,Loyal_Customer,34,Business_travel,Business,3666,4,4,5,5,5,5,3,0,0,satisfied
324,Male,Loyal_Customer,46,Business_travel,Business,235,2,2,3,4,4,4,3,24,24,satisfied
336,Male,Loyal_Customer,39,Business_travel,Business,337,4,4,2,4,5,5,4,5,0,satisfied
337,Male,Loyal_Customer,50,Business_travel,Business,1363,2,2,2,2,3,5,2,238,232,satisfied
339,Male,Loyal_Customer,41,Business_travel,Business,1620,4,4,4,5,2,2,5,7,0,satisfied
341,Male,Loyal_Customer,41,Business_travel,Business,1616,4,4,5,5,4,4,5,2,6,satisfied
355,Male,Loyal_Customer,55,Business_travel,Business,2896,1,1,3,5,5,5,3,2,0,satisfied
366,Male,Loyal_Customer,41,Business_travel,Business,990,4,4,4,5,4,4,3,37,38,satisfied
380,Male,Loyal_Customer,28,Business_travel,Business,833,3,3,2,2,2,1,2,0,0,satisfied
383,Male,Loyal_Customer,60,Business_travel,Business,2254,3,3,4,4,4,4,4,2,0,satisfied
387,Male,Loyal_Customer,13,Business_travel,Business,1529,5,5,4,4,4,5,4,0,0,satisfied
390,Male,Loyal_Customer,44,Business_travel,Business,1262,1,1,3,5,4,4,4,0,0,satisfied
394,Male,Loyal_Customer,16,Business_travel,Business,2865,2,2,5,5,5,5,5,2,0,satisfied
403,Male,Loyal_Customer,46,Business_travel,Business,1050,1,0,2,3,4,4,2,0,0,neutral_or_dissatisfied
414,Male,Loyal_Customer,47,Business_travel,Business,1846,2,2,5,4,4,4,5,62,55,satisfied
415,Male,Loyal_Customer,42,Business_travel,Business,2475,1,1,5,4,5,5,3,0,0,satisfied
421,Male,Loyal_Customer,38,Business_travel,Business,2355,2,2,3,3,5,5,3,24,0,satisfied
423,Male,Loyal_Customer,41,Business_travel,Business,2563,2,2,3,4,3,3,3,0,0,satisfied
434,Male,Loyal_Customer,55,Business_travel,Business,3934,3,3,5,5,4,4,3,0,0,satisfied
435,Male,Loyal_Customer,51,Business_travel,Business,2704,4,4,5,5,3,4,5,60,75,satisfied
437,Male,Loyal_Customer,25,Business_travel,Business,3848,1,2,4,4,4,2,4,0,0,satisfied
441,Male,Loyal_Customer,73,Business_travel,Business,2141,1,1,3,3,2,2,4,0,0,neutral_or_dissatisfied
445,Male,Loyal_Customer,33,Business_travel,Business,3679,2,2,5,5,5,2,5,0,0,satisfied
449,Male,Loyal_Customer,62,Business_travel,Business,3179,1,1,4,4,4,4,4,0,0,satisfied
451,Male,Loyal_Customer,57,Business_travel,Business,2807,1,1,2,4,5,5,4,0,7,satisfied
452,Male,Loyal_Customer,34,Business_travel,Business,3802,0,0,3,1,2,2,2,0,0,satisfied
461,Male,Loyal_Customer,52,Business_travel,Business,1778,4,4,2,4,3,3,5,4,7,satisfied
468,Male,Loyal_Customer,41,Business_travel,Business,2556,4,4,4,4,5,5,4,0,0,satisfied
470,Male,Loyal_Customer,40,Business_travel,Business,3034,2,2,4,5,4,4,4,8,28,satisfied
473,Male,Loyal_Customer,29,Business_travel,Business,2218,3,3,3,3,3,4,3,0,0,satisfied
477,Male,Loyal_Customer,41,Business_travel,Business,3423,3,3,4,4,5,5,1,0,0,satisfied
478,Male,Loyal_Customer,60,Business_travel,Business,493,4,4,2,5,3,3,3,0,0,satisfied
481,Male,Loyal_Customer,32,Business_travel,Business,2187,2,2,3,3,3,4,3,0,0,satisfied
491,Male,Loyal_Customer,41,Business_travel,Business,405,1,1,3,5,1,1,4,0,5,satisfied
492,Male,Loyal_Customer,31,Business_travel,Business,1598,5,5,4,4,4,4,4,0,0,satisfied
494,Male,Loyal_Customer,64,Business_travel,Business,2475,3,3,2,5,5,5,3,4,0,satisfied
495,Male,Loyal_Customer,52,Business_travel,Business,3935,1,1,3,5,4,4,3,0,25,satisfied
502,Male,Loyal_Customer,60,Business_travel,Business,1276,3,1,5,4,3,3,2,10,0,neutral_or_dissatisfied
504,Male,Loyal_Customer,55,Business_travel,Business,451,1,1,4,5,4,4,3,0,2,satisfied
505,Male,Loyal_Customer,41,Business_travel,Business,1981,4,4,4,2,5,5,4,0,0,satisfied
507,Male,Loyal_Customer,57,Business_travel,Business,1005,4,4,5,4,5,5,5,3,0,satisfied
70,Female,Loyal_Customer,53,Personal_Travel,Business,1242,3,4,3,5,1,1,4,3,0,neutral_or_dissatisfied
72,Female,Loyal_Customer,54,Personal_Travel,Business,153,3,5,2,5,2,2,5,0,0,neutral_or_dissatisfied
85,Female,Loyal_Customer,31,Personal_Travel,Business,334,2,1,5,5,5,4,5,5,0,neutral_or_dissatisfied
258,Female,Loyal_Customer,65,Personal_Travel,Business,1249,3,5,4,4,3,3,5,40,44,neutral_or_dissatisfied
30,Male,Loyal_Customer,43,Personal_Travel,Business,1235,1,5,1,4,3,3,5,0,0,neutral_or_dissatisfied
123,Male,Loyal_Customer,59,Personal_Travel,Business,639,2,1,4,3,3,3,1,0,11,neutral_or_dissatisfied
268,Male,Loyal_Customer,38,Personal_Travel,Business,1237,3,4,4,4,5,5,5,6,0,neutral_or_dissatisfied
329,Male,Loyal_Customer,61,Personal_Travel,Business,680,4,4,3,4,1,1,3,2,0,neutral_or_dissatisfied
334,Male,Loyal_Customer,66,Personal_Travel,Business,685,2,4,5,5,3,3,4,0,0,neutral_or_dissatisfied
490,Male,Loyal_Customer,17,Personal_Travel,Business,200,3,1,2,2,2,3,2,40,27,neutral_or_dissatisfied
506,Male,Loyal_Customer,59,Personal_Travel,Business,1605,2,5,2,5,2,2,4,41,19,neutral_or_dissatisfied
24,Female,disloyal_Customer,30,Business_travel,Eco,528,4,3,2,2,2,4,2,0,0,neutral_or_dissatisfied
76,Female,disloyal_Customer,24,Business_travel,Eco,1172,2,3,5,5,5,5,5,28,27,neutral_or_dissatisfied
86,Female,disloyal_Customer,37,Business_travel,Eco,158,1,2,1,1,1,3,1,24,20,neutral_or_dissatisfied
91,Female,disloyal_Customer,42,Business_travel,Eco,84,3,5,5,5,5,4,5,0,34,neutral_or_dissatisfied
100,Female,disloyal_Customer,36,Business_travel,Eco,1061,2,2,4,4,4,2,4,13,0,neutral_or_dissatisfied
115,Female,disloyal_Customer,36,Business_travel,Eco,247,2,1,1,1,1,2,1,16,6,neutral_or_dissatisfied
153,Female,disloyal_Customer,29,Business_travel,Eco,158,4,0,2,2,2,2,2,0,0,satisfied
166,Female,disloyal_Customer,27,Business_travel,Eco,191,4,4,5,5,5,3,5,16,12,neutral_or_dissatisfied
169,Female,disloyal_Customer,20,Business_travel,Eco,471,4,5,3,3,3,4,3,0,0,neutral_or_dissatisfied
179,Female,disloyal_Customer,8,Business_travel,Eco,946,2,2,3,3,3,3,3,2,0,neutral_or_dissatisfied
196,Female,disloyal_Customer,20,Business_travel,Eco,337,4,0,4,4,4,5,4,0,0,satisfied
224,Female,disloyal_Customer,27,Business_travel,Eco,986,2,1,1,1,1,3,1,24,32,neutral_or_dissatisfied
225,Female,disloyal_Customer,25,Business_travel,Eco,1024,1,1,5,5,5,4,5,13,11,neutral_or_dissatisfied
228,Female,disloyal_Customer,23,Business_travel,Eco,423,3,3,1,1,1,3,1,6,13,neutral_or_dissatisfied
234,Female,disloyal_Customer,8,Business_travel,Eco,2092,2,3,4,4,4,3,4,26,23,neutral_or_dissatisfied
244,Female,disloyal_Customer,27,Business_travel,Eco,1081,1,1,2,2,2,1,2,4,0,neutral_or_dissatisfied
269,Female,disloyal_Customer,38,Business_travel,Eco,1062,1,1,3,3,3,3,3,0,0,neutral_or_dissatisfied
311,Female,disloyal_Customer,21,Business_travel,Eco,972,2,2,4,4,4,5,4,0,0,neutral_or_dissatisfied
347,Female,disloyal_Customer,20,Business_travel,Eco,317,3,4,3,3,3,4,3,23,14,neutral_or_dissatisfied
360,Female,disloyal_Customer,25,Business_travel,Eco,782,2,2,1,1,1,3,1,9,19,neutral_or_dissatisfied
373,Female,disloyal_Customer,48,Business_travel,Eco,1310,1,1,1,1,1,4,1,52,27,neutral_or_dissatisfied
